=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR write reload t=1249 val=0000 apply=1250
TMR write control t=1249 val=0000 apply=1250 width=4 addr=04000102
TMR apply reload t=1250 val=0000
TMR apply control t=1250 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1250 counter=0000
TMR write control t=1405047 val=0000 apply=1405048 width=2 addr=04000102
TMR apply control t=1405048 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1405048 counter=0000
TMR write reload t=1405223 val=FB1A apply=1405224
TMR apply reload t=1405224 val=FB1A
TMR write control t=1600379 val=0080 apply=1600380 width=2 addr=04000102
TMR apply control t=1600380 old=0000 new=0080 running=0 counter=0000 next=18446744073709551615
TMR enabled t=1600380 counter=FB1A reload=FB1A offset=0 next=1601635
TMR overflow t=0 cyc=1987869 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1989123 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1990377 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1991631 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1992885 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1994139 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1995393 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1996647 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1997901 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1999155 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2000409 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2001663 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2002917 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2004171 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2005425 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2006679 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2007933 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2009187 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2010441 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2011695 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2012949 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2014203 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2015457 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2016711 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2017965 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2019219 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2020473 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2021727 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2022981 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2024235 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2025489 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2026743 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2027997 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2029251 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2030505 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2031759 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2033013 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2034267 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2035521 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2036775 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2038029 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2039283 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2040537 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2041791 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2043045 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2044299 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2045553 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2046807 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2048061 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2049315 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2050569 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2051823 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2053077 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2054331 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2055585 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2056839 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2058093 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2059347 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2060601 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2061855 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2063109 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2064363 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2065617 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2066871 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2068125 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2069379 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2070633 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2071887 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2073141 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2074395 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2075649 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2076903 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2078157 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2079411 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2080665 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2081919 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2083173 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2084427 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2085681 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2086935 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2088189 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2089443 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2090697 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2091951 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2093205 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2094459 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2095713 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2096967 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2098221 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2099475 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2100729 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2101983 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2103237 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2104491 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2105745 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2106999 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2108253 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2109507 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2110761 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2112015 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2113269 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2114523 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2115777 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2117031 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2118285 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2119539 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2120793 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2122047 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2123301 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2124555 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2125809 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2127063 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2128317 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2129571 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2130825 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2132079 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2133333 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2134587 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2135841 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2137095 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2138349 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2139603 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2140857 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2142111 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2143365 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2144619 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2145873 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2147127 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2148381 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2149635 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2150889 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2152143 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2153397 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2154651 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2155905 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2157159 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2158413 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2159667 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2160921 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2162175 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=2163392 pc=00000348 cpsr=2000005F return=0000034C
TMR overflow t=0 cyc=2163429 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2164683 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2165937 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2167191 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2168445 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2169699 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2170953 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2172207 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2173461 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2174715 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2175969 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2177223 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2178477 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2179731 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2180985 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2182239 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2183493 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2184747 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2186001 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2187255 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2188509 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2189763 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2191017 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2192271 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2193525 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2194779 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2196033 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2197287 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2198541 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2199795 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2201049 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2202303 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2203557 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2204811 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2206065 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2207319 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2208573 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2209827 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2211081 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2212335 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2213589 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2214843 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2216097 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2217351 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2218605 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2219859 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2221113 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2222367 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2223621 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2224875 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2226129 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2227383 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2228637 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2229891 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2231145 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2232399 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2233653 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2234907 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2236161 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2237415 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2238669 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2239923 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2241177 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2242431 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2243685 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2244939 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2246193 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2247447 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2248701 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2249955 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2251209 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2252463 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2253717 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2254971 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2256225 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2257479 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2258733 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2259987 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2261241 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2262495 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2263749 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2265003 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2266257 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2267511 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2268765 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2270019 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2271273 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2272527 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2273781 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2275035 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2276289 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2277543 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2278797 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2280051 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2281305 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2282559 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2283813 cnt=0000 reload=FB1A ctl=0080
